	organism	precursor	assembly_chasis	assembly	diversification	decoration_chasis	decoration	oxidorreductases	transferases	hydrolases	lyases	isomerases	ligases
0	Actinidia_chinensis	0	0	0	0	0	2	0.0	1.0	0.0	0.0	0.0	0.0
1	Aneurinibacillus_thermoaerophilus	0	0	0	0	2	0	0.0	1.0	0.0	0.0	1.0	0.0
2	Antirrhinum_majus	0	0	0	6	0	5	1.0	1.0	0.0	0.0	0.0	0.0
3	Apostasia_shenzhenica	0	0	0	0	0	1	0.0	1.0	0.0	0.0	0.0	0.0
4	Arabidopsis_thaliana	3	5	11	20	4	59	1.0	1.0	0.0	1.0	1.0	1.0
5	Arachis_hypogaea	0	1	0	0	0	3	0.0	1.0	0.0	0.0	0.0	0.0
6	Artemisia_capillaris	0	0	0	0	0	2	0.0	1.0	0.0	0.0	0.0	0.0
7	Astragalus_mongholicus	0	0	0	0	0	1	0.0	1.0	0.0	0.0	0.0	0.0
8	Bacillus_cereus	0	0	0	0	0	12	0.0	1.0	0.0	0.0	0.0	0.0
9	Bacillus_licheniformis	0	0	0	0	0	35	0.0	1.0	0.0	0.0	0.0	0.0
10	Bacillus_subtilis	0	2	0	0	0	2	0.0	1.0	0.0	0.0	0.0	0.0
11	Bellis_perennis	0	0	0	0	0	3	0.0	1.0	0.0	0.0	0.0	0.0
12	Callistephus_chinensis	0	0	0	3	0	0	1.0	0.0	0.0	0.0	0.0	0.0
13	Camellia_sinensis	0	0	0	3	1	9	1.0	1.0	0.0	0.0	0.0	0.0
14	Cannabis_sativa	0	0	0	0	0	4	0.0	1.0	0.0	0.0	0.0	0.0
15	Catharanthus_roseus	0	0	0	5	0	8	1.0	1.0	0.0	0.0	0.0	0.0
16	Chrysosplenium_americanum	0	0	0	1	0	2	1.0	0.0	0.0	0.0	0.0	0.0
17	Cicer_arietinum	1	0	1	0	0	0	1.0	0.0	0.0	0.0	0.0	0.0
18	Citrus_aurantium	0	0	0	0	0	7	0.0	1.0	0.0	0.0	0.0	0.0
19	Citrus_maxima	0	0	0	0	0	4	0.0	1.0	0.0	0.0	0.0	0.0
20	Citrus_unshiu	0	0	0	3	0	0	1.0	0.0	0.0	0.0	0.0	0.0
21	Clarkia_breweri	0	0	0	0	0	1	1.0	0.0	0.0	0.0	0.0	0.0
22	Cleretum_bellidiforme	0	0	0	0	0	15	0.0	1.0	0.0	0.0	0.0	0.0
23	Coffea_arabica	0	1	1	0	0	0	0.0	1.0	0.0	0.0	0.0	0.0
24	Coffea_canephora	0	1	4	0	0	0	1.0	1.0	0.0	0.0	0.0	0.0
25	Mesembryanthemum_subgen._Cryophytum	0	0	1	0	0	8	0.0	1.0	0.0	0.0	0.0	0.0
26	Cyclamen_persicum_x_Cyclamen_purpurascens	0	0	1	0	0	3	0.0	1.0	0.0	0.0	0.0	0.0
27	Dahlia_pinnata	0	0	0	0	0	3	0.0	1.0	0.0	0.0	0.0	0.0
28	Desmodium_uncinatum	0	0	0	3	0	0	1.0	0.0	0.0	0.0	0.0	0.0
29	Dianthus_caryophyllus	0	0	0	3	0	0	1.0	0.0	0.0	0.0	0.0	0.0
30	Epimedium_pseudowushanense	0	0	0	0	0	16	0.0	1.0	0.0	0.0	0.0	0.0
31	Escherichia_coli	1	0	0	2	5	0	1.0	1.0	0.0	0.0	0.0	0.0
32	Eubacterium_ramulus	0	0	0	9	0	0	1.0	0.0	0.0	0.0	1.0	0.0
33	Fagopyrum_tataricum	0	0	0	2	0	0	1.0	0.0	0.0	0.0	0.0	0.0
34	Flaveria_chlorifolia	0	0	0	0	0	10	0.0	1.0	0.0	0.0	0.0	0.0
35	Fragaria_x_ananassa	0	0	0	2	0	0	1.0	0.0	0.0	0.0	0.0	0.0
36	Fusarium_solani	0	0	0	1	0	0	1.0	0.0	0.0	0.0	0.0	0.0
37	Gentiana_triflora	0	0	0	0	0	12	0.0	1.0	0.0	0.0	0.0	0.0
38	Gerbera_hybrid_cultivar	0	0	0	3	0	0	1.0	0.0	0.0	0.0	0.0	0.0
39	Ginkgo_biloba	0	0	0	0	0	2	0.0	1.0	0.0	0.0	0.0	0.0
40	Gluconacetobacter_diazotrophicus	0	0	0	0	0	1	0.0	1.0	0.0	0.0	0.0	0.0
41	Glycine_max	0	0	0	10	0	15	1.0	1.0	0.0	1.0	0.0	0.0
42	Glycyrrhiza_echinata	0	0	0	8	0	3	1.0	1.0	0.0	1.0	0.0	0.0
43	Helianthus_tuberosus	1	0	1	0	0	0	1.0	0.0	0.0	0.0	0.0	0.0
44	Humulus_lupulus	0	2	0	0	0	3	0.0	1.0	0.0	0.0	0.0	0.0
45	Hypericum_androsaemum	0	3	0	0	0	0	0.0	1.0	0.0	0.0	0.0	0.0
46	Ipomoea_purpurea	0	0	0	0	0	3	0.0	1.0	0.0	0.0	0.0	0.0
47	Lactococcus_garvieae	0	0	0	8	0	0	1.0	0.0	0.0	0.0	1.0	0.0
48	Leuconostoc_mesenteroides	0	0	0	0	0	4	0.0	1.0	0.0	0.0	0.0	0.0
49	Lotus_japonicus	0	0	0	3	0	0	1.0	0.0	0.0	0.0	0.0	0.0
50	Lupinus_albus	0	0	0	0	0	8	0.0	1.0	0.0	0.0	0.0	0.0
51	Malus_domestica	0	0	0	8	0	18	1.0	1.0	0.0	0.0	0.0	0.0
52	Marchantia_paleacea	0	0	0	0	0	1	0.0	1.0	0.0	0.0	0.0	0.0
53	Medicago_sativa	0	1	5	1	0	0	1.0	1.0	0.0	0.0	1.0	0.0
54	Medicago_truncatula	0	0	0	3	0	9	1.0	1.0	0.0	0.0	0.0	0.0
55	Morus_alba	0	0	0	0	0	4	0.0	1.0	0.0	0.0	0.0	0.0
56	Nicotiana_tabacum	0	2	2	0	0	3	0.0	1.0	0.0	0.0	0.0	0.0
57	Ocimum_basilicum	0	0	0	1	0	20	1.0	1.0	0.0	0.0	0.0	0.0
58	Oryza_sativa_Japonica_Group	0	0	3	5	0	39	1.0	1.0	1.0	0.0	0.0	0.0
59	Perilla_frutescens	0	0	0	2	0	9	1.0	1.0	0.0	0.0	0.0	0.0
60	Petroselinum_crispum	0	0	0	4	0	0	1.0	0.0	0.0	0.0	0.0	0.0
61	Petunia_x_hybrida	0	1	5	6	0	6	1.0	1.0	0.0	0.0	0.0	0.0
62	Pimpinella_anisum	0	0	0	0	0	5	1.0	1.0	0.0	0.0	0.0	0.0
63	Pinus_densiflora	0	4	0	0	0	0	0.0	1.0	0.0	0.0	0.0	0.0
64	Pinus_taeda	0	0	0	1	0	0	1.0	0.0	0.0	0.0	0.0	0.0
65	Piper_methysticum	0	0	0	0	0	1	0.0	1.0	0.0	0.0	0.0	0.0
66	Polygonum_cuspidatum	0	0	0	0	0	2	0.0	1.0	0.0	0.0	0.0	0.0
67	Pseudomonas_aeruginosa	0	0	0	0	1	0	1.0	0.0	0.0	0.0	0.0	0.0
68	Pseudomonas_putida_KT2440	1	3	2	0	0	0	1.0	1.0	0.0	0.0	0.0	1.0
69	Pueraria_montana_var._lobata	0	0	5	0	0	2	0.0	1.0	0.0	0.0	1.0	0.0
70	Pyrus_communis	0	0	0	0	0	2	0.0	1.0	0.0	0.0	0.0	0.0
71	Rhodobacter_capsulatus_SB_1003	0	2	0	0	0	0	0.0	0.0	0.0	0.0	0.0	1.0
72	Cereibacter_sphaeroides_2.4.1	1	0	0	0	0	0	0.0	0.0	0.0	1.0	0.0	0.0
73	Rhodotorula_toruloides	2	0	0	0	0	0	0.0	0.0	0.0	1.0	0.0	0.0
74	Rhodococcus_jostii_RHA1	0	1	1	0	0	0	1.0	0.0	0.0	1.0	0.0	0.0
75	Rhodopseudomonas_palustris	0	1	0	0	0	0	0.0	0.0	0.0	1.0	0.0	0.0
76	Rosa_chinensis	0	0	0	0	0	1	0.0	1.0	0.0	0.0	0.0	0.0
77	Rubus_idaeus	0	0	0	0	0	1	0.0	1.0	0.0	0.0	0.0	0.0
78	Saccharomyces_cerevisiae	2	0	5	27	0	10	1.0	1.0	0.0	0.0	0.0	0.0
79	Salvia_splendens	0	0	0	0	0	3	0.0	1.0	0.0	0.0	0.0	0.0
80	Scutellaria_baicalensis	0	0	0	3	0	25	1.0	1.0	0.0	0.0	0.0	0.0
81	Sinningia_cardinalis	0	0	0	4	0	0	1.0	0.0	0.0	0.0	0.0	0.0
82	Sinorhizobium_meliloti	0	0	0	0	1	0	0.0	0.0	0.0	1.0	1.0	0.0
83	Solanum_habrochaites	0	0	0	0	0	8	0.0	1.0	0.0	0.0	0.0	0.0
84	Sophora_flavescens	0	0	0	0	0	12	0.0	1.0	0.0	0.0	0.0	0.0
85	Sorghum_bicolor	0	3	0	0	0	0	0.0	1.0	0.0	0.0	0.0	0.0
86	Streptococcus_oralis	0	0	0	0	0	3	0.0	1.0	0.0	0.0	0.0	0.0
87	Streptomyces_antibioticus	0	0	0	0	0	6	0.0	1.0	0.0	0.0	0.0	0.0
88	Streptomyces_avermitilis	0	0	0	6	0	5	1.0	1.0	0.0	0.0	0.0	0.0
89	Streptomyces_coelicolor_A3_2	0	0	0	0	0	2	0.0	1.0	0.0	0.0	0.0	0.0
90	Streptomyces_himastatinicus_ATCC_53653	0	0	0	0	0	6	0.0	1.0	0.0	0.0	0.0	0.0
91	Streptomyces_lividans	0	0	0	0	0	6	0.0	1.0	0.0	0.0	0.0	0.0
92	Streptomyces_maritimus	0	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0	1.0
93	Streptomyces_niveus	0	0	0	0	0	9	0.0	1.0	0.0	0.0	0.0	0.0
94	Streptomyces_sp._KCTC_0041BP	0	0	0	0	2	0	1.0	0.0	0.0	0.0	1.0	0.0
95	Streptomyces_sp._CL190	0	0	0	0	0	8	0.0	1.0	0.0	0.0	0.0	0.0
96	Trifolium_pratense	0	0	0	3	0	0	1.0	0.0	0.0	0.0	0.0	0.0
97	Triticum_aestivum	0	0	0	0	0	3	0.0	1.0	0.0	0.0	0.0	0.0
98	Vaccinium_corymbosum	0	0	0	2	0	0	1.0	0.0	0.0	0.0	0.0	0.0
99	Vitis_vinifera	0	1	1	3	0	12	1.0	1.0	0.0	0.0	0.0	0.0
100	Withania_somnifera	0	0	0	0	0	5	0.0	1.0	0.0	0.0	0.0	0.0
101	Zea_mays	0	0	0	4	0	2	1.0	1.0	0.0	1.0	0.0	0.0
